id	file	line	title
ACC-V0-001	docs/specs/analyzer-capability-contract-v0.md	100	Core MUST remain Git-only when no accepted analyzer profile is explicitly select
ACC-V0-002	docs/specs/analyzer-capability-contract-v0.md	103	V0 MUST launch only a local, native external executable from a trusted signed
ACC-V0-003	docs/specs/analyzer-capability-contract-v0.md	160	Registry trust is separate from repository authority. The local registry MUST ha
ACC-V0-004	docs/specs/analyzer-capability-contract-v0.md	165	Capability-to-plugin resolution MUST precede release resolution. For a requested
ACC-V0-005	docs/specs/analyzer-capability-contract-v0.md	170	The repository lock is a mandatory terminal input, not a preference. It MUST pin
ACC-V0-006	docs/specs/analyzer-capability-contract-v0.md	180	Releases are exact and side-by-side. Release IDs are opaque and unordered: a new
ACC-V0-007	docs/specs/analyzer-capability-contract-v0.md	188	Every profile MUST carry the full canonical component graph defined above, plus
ACC-V0-008	docs/specs/analyzer-capability-contract-v0.md	198	Compatibility is correlated DNF, evaluated independently for every compilation
ACC-V0-009	docs/specs/analyzer-capability-contract-v0.md	207	V0 supports only canonical exact equality schemes and exactly one frozen
ACC-V0-010	docs/specs/analyzer-capability-contract-v0.md	231	Profile features have only `enabled`, `disabled`, or `unknown` state. `unknown`
ACC-V0-011	docs/specs/analyzer-capability-contract-v0.md	235	Dependencies are explicit bounded edges, not ambient discovery. Each edge names
ACC-V0-012	docs/specs/analyzer-capability-contract-v0.md	244	Core MUST provide the analyzer only an immutable, minimum, explicitly bounded
ACC-V0-013	docs/specs/analyzer-capability-contract-v0.md	257	The protocol is framed canonical bytes with bounded input, output, nesting, fiel
ACC-V0-014	docs/specs/analyzer-capability-contract-v0.md	267	Analyzer output is hostile and may express only a bounded set of proposed facts,
ACC-V0-015	docs/specs/analyzer-capability-contract-v0.md	273	Core independently performs deterministic framing validation, exact lock/registr
ACC-V0-016	docs/specs/analyzer-capability-contract-v0.md	278	Runtime observations may be recorded only as `OBSERVED` (or `none` when no resul
ACC-V0-017	docs/specs/analyzer-capability-contract-v0.md	286	Every denial, rejection, and no-result MUST carry exactly one scoped reason from
ACC-V0-018	docs/specs/analyzer-capability-contract-v0.md	300	Before every cache lookup, each invocation MUST validate the current registry
ACC-V0-019	docs/specs/analyzer-capability-contract-v0.md	314	Hard global bounds apply before launch and throughout the request: exactly one
ACC-V0-020	docs/specs/analyzer-capability-contract-v0.md	333	Diagnostics are stage-scoped and performance-ratcheted. The receipt records boun
ACC-V0-021	docs/specs/analyzer-capability-contract-v0.md	348	An analyzer profile is eligible only after an owner accepts its profile contract
ACC-V0-022	docs/specs/analyzer-capability-contract-v0.md	353	Promotion is per exact `(analyzer release, host binary digest, host tuple, targe
ACC-V0-023	docs/specs/analyzer-capability-contract-v0.md	358	Rollback disables the affected locked profile or selects its prior exact locked
ACP-001	docs/specs/analyzer-candidate-profiles.md	56	Every family MUST remain a separately buildable executable and package. Core MUS
ACP-002	docs/specs/analyzer-candidate-profiles.md	59	A candidate MUST consume one canonical request containing only a bounded ordered
ACP-003	docs/specs/analyzer-candidate-profiles.md	64	A candidate MUST emit only mechanically extracted candidate facts. A requested p
ACP-004	docs/specs/analyzer-candidate-profiles.md	70	Each input family MUST have a closed field, element, attribute, namespace, tuple
ACP-005	docs/specs/analyzer-candidate-profiles.md	74	Canonical output MUST use typed field-by-field ordering, not delimiter-concatena
ACP-006	docs/specs/analyzer-candidate-profiles.md	77	Global limits MUST be consumed before allocation or append. One request permits
ACP-007	docs/specs/analyzer-candidate-profiles.md	85	Candidates MUST NOT read a repository or ambient file, invoke Git or a language
ACP-008	docs/specs/analyzer-candidate-profiles.md	89	The candidate request and output are an experimental fact-extractor envelope, no
ACP-009	docs/specs/analyzer-candidate-profiles.md	94	Each candidate MUST satisfy the absolute allocation ceilings and reproducible bu
